seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr,TimeDate,TradeDate,QuoteDate
12393,QQQ,1603320658749,285.31,25,126242,285.28,285.32,0,0,0,0,0,0,3,0,0,10/21/2020 10:50:58 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12394,QQQ,1603320682905,285.27,100,126243,285.27,285.32,0,0,0,0,0,0,2,0,0,10/21/2020 10:51:22 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12395,QQQ,1603320701329,285.25,100,126244,285.24,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:51:41 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12396,QQQ,1603320718930,285.2,200,126245,285.2,285.23,0,0,0,0,0,0,2,0,0,10/21/2020 10:51:58 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12397,QQQ,1603320733583,285.2,400,126246,285.2,285.23,0,0,0,0,0,0,2,0,0,10/21/2020 10:52:13 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12398,QQQ,1603320738251,285.21,20,126247,285.2,285.23,0,0,0,0,0,0,2,0,0,10/21/2020 10:52:18 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12399,QQQ,1603320804574,285.17,100,126248,285.17,285.19,0,0,0,0,0,0,2,0,0,10/21/2020 10:53:24 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12400,QQQ,1603320816566,285.16,25,126249,285.14,285.18,0,0,0,0,0,0,3,0,0,10/21/2020 10:53:36 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12401,QQQ,1603320895898,285.12,600,126250,285.1,285.13,0,0,0,0,0,0,3,0,0,10/21/2020 10:54:55 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12402,QQQ,1603320976307,285.12,5,126251,285.11,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:56:16 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12403,QQQ,1603320977941,285.11,1,126252,285.11,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:56:17 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12404,QQQ,1603321005919,285.15,19,126253,285.14,285.18,0,0,0,0,0,0,2,0,0,10/21/2020 10:56:45 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12405,QQQ,1603321045820,285.12,30,126254,285.12,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:57:25 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12406,QQQ,1603321057980,285.11,20,126255,285.1,285.14,0,0,0,0,0,0,2,0,0,10/21/2020 10:57:37 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12407,QQQ,1603321058807,285.11,600,126256,285.1,285.14,0,0,0,0,0,0,2,0,0,10/21/2020 10:57:38 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12408,QQQ,1603321058807,285.11,375,126257,285.1,285.14,0,0,0,0,0,0,2,0,0,10/21/2020 10:57:38 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12409,QQQ,1603321058816,285.1,100,126258,285.1,285.14,0,0,0,0,0,0,2,0,0,10/21/2020 10:57:38 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12410,QQQ,1603321082751,285.03,200,126259,285.04,285.09,0,0,0,0,0,0,1,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12411,QQQ,1603321082751,285.04,600,126260,285.04,285.09,0,0,0,0,0,0,2,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12412,QQQ,1603321082752,285.01,100,126261,285.04,285.09,0,0,0,0,0,0,1,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12413,QQQ,1603321082752,285,20,126262,285.04,285.09,0,0,0,0,0,0,1,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12414,QQQ,1603321082752,285,100,126263,285.04,285.09,0,0,0,0,0,0,1,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12415,QQQ,1603321082752,284.98,10,126264,285.04,285.09,0,0,0,0,0,0,1,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12416,QQQ,1603321082774,284.96,50,126265,285.04,285.09,0,0,0,0,0,0,1,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12417,QQQ,1603321082774,284.96,100,126266,285.04,285.09,0,0,0,0,0,0,1,0,0,10/21/2020 10:58:02 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
