seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr
3312,SPY,1601060061670,327.715,200,192247,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3313,SPY,1601060061671,327.72,100,192248,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3314,SPY,1601060061671,327.72,100,192249,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3315,SPY,1601060061677,327.725,100,192250,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3316,SPY,1601060062566,327.72,100,192251,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3317,SPY,1601060062566,327.72,100,192252,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3318,SPY,1601060062567,327.72,100,192253,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3319,SPY,1601060062567,327.72,100,192254,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3320,SPY,1601060062567,327.72,100,192255,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,5,0,0
3321,SPY,1601060062567,327.71,100,192256,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,4,0,0
3322,SPY,1601060062570,327.71,200,192257,327.7,327.71,327.71,100,700,200,1601060062635,1601060062570,4,0,0
3323,SPY,1601060062809,327.705,300,192258,327.7,327.71,327.705,200,600,200,1601060063278,1601060062809,2,0,0
3324,SPY,1601060062809,327.705,100,192259,327.7,327.71,327.705,200,600,200,1601060063278,1601060062809,2,0,0
3325,SPY,1601060062809,327.705,260,192260,327.7,327.71,327.705,200,600,200,1601060063278,1601060062809,2,0,0
3326,SPY,1601060063931,327.705,100,192261,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,1,0,0.020019531
3327,SPY,1601060064095,327.705,100,192262,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,1,0,0
3328,SPY,1601060064096,327.71,100,192263,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,1,0,0
3329,SPY,1601060064188,327.725,552,192264,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,2,0,0
3330,SPY,1601060064188,327.725,300,192265,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,2,0,0
3331,SPY,1601060064576,327.725,100,192266,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,2,0,0
3332,SPY,1601060064576,327.73,100,192267,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,4,0,0
3333,SPY,1601060064591,327.74,100,192268,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3334,SPY,1601060064591,327.74,100,192269,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3335,SPY,1601060064591,327.74,100,192270,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3336,SPY,1601060064591,327.74,100,192271,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
